"TF" "Mean_activity" "meta_pval" "pval_var" "TF_name"
"1" "MA1638.1.HAND2" 0.038012589327991 0.999999999999999 0.000336273528126713 "HAND2"
"2" "MA0820.1.FIGLA" 0.166007958352566 0.915352962593514 0.00307715802925429 "FIGLA"
"3" "MA0884.1.DUXA" 0.163121651858091 0.965780405598977 0.00395609570419307 "DUXA"
"4" "MA0889.1.GBX1" 0.784991137566976 1.13706786925762e-58 0.0550465410446567 "GBX1"
"5" "MA0834.1.ATF7" 0.372343596071005 8.84033470013401e-07 0.0157370819663685 "ATF7"
"6" "MA1106.1.HIF1A" -0.0496231438592076 0.999999999994339 0.00247628487331902 "HIF1A"
"7" "MA1594.1.ZNF382" 0.0348230595700443 1 0.000224402637745251 "ZNF382"
"8" "MA0488.1.JUN" 0.18540959386155 0.869274961659522 0.00633642096238805 "JUN"
"9" "MA0913.2.HOXD9" -0.274164761882275 0.0272886205177682 0.0033477645394031 "HOXD9"
"10" "MA1476.1.DLX5" -0.218055943027139 0.450518026931579 0.00441507180684237 "DLX5"
"11" "MA0788.1.POU3F3" -0.13758037565276 0.997612287219981 0.00269004742800205 "POU3F3"
"12" "MA0724.1.VENTX" -0.0321048595942557 1 0.00195395042873286 "VENTX"
"13" "MA1522.1.MAZ" 0.0609404249116778 0.999999862030923 0.00447558057054679 "MAZ"
"14" "MA0708.1.MSX2" -0.102254144381732 0.999996767782226 0.000880852588682146 "MSX2"
"15" "MA1500.1.HOXB6" -0.0600438173860312 0.999999995944294 0.00429973691513693 "HOXB6"
"16" "MA0792.1.POU5F1B" -0.36988883651793 9.92449091291598e-07 0.00485401210727612 "POU5F1B"
"17" "MA0877.2.BARHL1" -0.114154867827892 0.999874091247275 0.0039444135129949 "BARHL1"
"18" "MA0027.2.EN1" -0.0736339567229152 0.999999995833011 0.00204778588327269 "EN1"
"19" "MA0057.1.MZF1(var.2)" -0.0415550237521529 0.999999999999983 0.00122989530978428 "MZF1(var.2)"
"20" "MA0528.2.ZNF263" -0.0356440851464868 0.999999999997684 0.00338677965723952 "ZNF263"
"21" "MA0875.1.BARX1" -0.161610153038055 0.975922217145531 0.00408737320749211 "BARX1"
"22" "MA1534.1.NR1I3" -0.156047510914505 0.984679709279071 0.00232457852962619 "NR1I3"
"23" "MA0479.1.FOXH1" -0.191528809722513 0.786146346534253 0.00225167267071654 "FOXH1"
"24" "MA1600.1.ZNF684" 0.0317816669121385 0.999999999999527 0.00215142343069928 "ZNF684"
"25" "MA1554.1.RFX7" -0.100726002827287 0.999998126701017 0.000545380223296681 "RFX7"
"26" "MA1592.1.ZNF274" -0.0197682054713368 1 0.000230422862252408 "ZNF274"
"27" "MA0485.2.HOXC9" -0.16848215367645 0.942600435536911 0.00306965286737568 "HOXC9"
"28" "MA0778.1.NFKB2" 0.511512859142385 1.42940287963706e-18 0.00942995449051977 "NFKB2"
"29" "MA0523.1.TCF7L2" -0.178574099205434 0.914229840813154 0.00101691420469269 "TCF7L2"
"30" "MA1527.1.NFIC(var.2)" 0.0680128997191787 0.99999999371608 0.00160297052658967 "NFIC(var.2)"
"31" "MA0100.3.MYB" -0.0166163938120008 1 0.000774933320832095 "MYB"
"32" "MA1137.1.FOSL1::JUNB" 0.753591139800847 4.21970108289924e-51 0.0449599510891224 "FOSL1::JUNB"
"33" "MA0651.1.HOXC11" -0.224399236962199 0.359636202447145 0.00313205074635458 "HOXC11"
"34" "MA0672.1.NKX2-3" -0.000511881895363331 1 0.00061780229817112 "NKX2-3"
"35" "MA0846.1.FOXC2" -0.295211513992399 0.0056120349222817 0.00412999369133357 "FOXC2"
"36" "MA1513.1.KLF15" 0.0618005115538836 0.728206742708568 0.0386398150784297 "KLF15"
"37" "MA1154.1.ZNF282" 0.0129969213157892 1 0.0002337028414677 "ZNF282"
"38" "MA0070.1.PBX1" 0.0572031391784549 0.999999999993318 0.00115790301592673 "PBX1"
"39" "MA1108.2.MXI1" 0.0424044192768633 0.999999999999986 0.000368881138996258 "MXI1"
"40" "MA0076.2.ELK4" -0.422555075958371 3.39463646243429e-10 0.00436655036701294 "ELK4"
"41" "MA0727.1.NR3C2" 0.0294241559458897 0.999999848060152 0.00910874741040682 "NR3C2"
"42" "MA0498.2.MEIS1" -0.103585156612098 0.999993178205477 0.00143981974013104 "MEIS1"
"43" "MA1128.1.FOSL1::JUN" 0.609749960713089 1.41222238444095e-29 0.0286420897792871 "FOSL1::JUN"
"44" "MA1135.1.FOSB::JUNB" 0.635762634687126 6.10690213571808e-33 0.0270779378157263 "FOSB::JUNB"
"45" "MA1571.1.TGIF2LX" 0.150874350685626 0.981236450558686 0.00417644500775223 "TGIF2LX"
"46" "MA1532.1.NR1D2" -0.0100820842199028 1 0.00115146340063167 "NR1D2"
"47" "MA0105.4.NFKB1" 0.235951391514391 0.230801556560534 0.00241642868877522 "NFKB1"
"48" "MA0646.1.GCM1" 0.129053473472595 0.99664986924371 0.00328326614575106 "GCM1"
"49" "MA0765.2.ETV5" -0.723510812036693 1.42719560041916e-45 0.00959017723338282 "ETV5"
"50" "MA0830.2.TCF4" 0.150278931483626 0.978302474251456 0.00226540863137975 "TCF4"
"51" "MA1528.1.NFIX(var.2)" 0.0279628885909915 0.999999999991847 0.00329234306822413 "NFIX(var.2)"
"52" "MA0855.1.RXRB" 0.120563092641532 0.999770048743607 0.000702156866447197 "RXRB"
"53" "MA1556.1.RXRG(var.2)" 0.209879301022738 0.546504990834808 0.000967917374608135 "RXRG(var.2)"
